(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
small conductance mechanosensitive channel MscS	CPLX0-7626		non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]	non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]
<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter	ABC-34-CPLX	glycerol-3-phosphate transmembrane transporter activity // glycerophosphodiester transmembrane transporter activity // ABC-type glycerol-3-phosphate transporter activity	ATP + sn-glycerol 3-phosphate[periplasm] + H2O  ->  ADP + sn-glycerol 3-phosphate[cytosol] + phosphate + H+ // a glycerophosphodiester[periplasm] + ATP + H2O  ->  a glycerophosphodiester[cytosol] + ADP + phosphate + H+	ATP + sn-glycerol 3-phosphate[periplasm] + H2O  ->  ADP + sn-glycerol 3-phosphate[cytosol] + phosphate + H+ // a glycerophosphodiester[periplasm] + ATP + H2O  ->  a glycerophosphodiester[cytosol] + ADP + phosphate + H+
sn-glycerol 3-phosphate:phosphate antiporter	GLPT-MONOMER	transmembrane transporter activity // glycerol-3-phosphate transmembrane transporter activity // glycerol-phosphate:inorganic phosphate antiporter activity // organophosphate:inorganic phosphate antiporter activity	glycerol-3-phosphate:phosphate antiport	glycerol-3-phosphate:phosphate antiport
sorbitol-specific PTS enzyme II	CPLX-169	protein-phosphocysteine-mannitol phosphotransferase system transporter activity // protein-phosphocysteine-D-sorbitol-phosphotransferase system transporter activity	HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr // D-mannitol PTS permease	HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr // D-mannitol PTS permease
spermidine preferential ABC transporter	ABC-24-CPLX		ATP + spermidine[periplasm] + H2O  ->  ADP + spermidine[cytosol] + phosphate + H+ // ATP + putrescine[periplasm] + H2O  ->  ADP + putrescine[cytosol] + phosphate + H+	ATP + spermidine[periplasm] + H2O  ->  ADP + spermidine[cytosol] + phosphate + H+ // ATP + putrescine[periplasm] + H2O  ->  ADP + putrescine[cytosol] + phosphate + H+
sugar exporter SetA	B0070-MONOMER	transmembrane transporter activity // carbohydrate:proton symporter activity	lactose:proton antiport	lactose:proton antiport
sugar exporter SetB	B2170-MONOMER	transmembrane transporter activity // carbohydrate:proton symporter activity	lactose:proton antiport	lactose:proton antiport
sulfate/thiosulfate ABC transporter	ABC-70-CPLX		sulfate[periplasm] + ATP + H2O  ->  sulfate[cytosol] + ADP + phosphate + H+ // ATP + thiosulfate[periplasm] + H2O  ->  ADP + thiosulfate[cytosol] + phosphate + H+ // selenate[periplasm] + ATP + H2O  ->  selenate[cytosol] + ADP + phosphate + H+ // selenite[periplasm] + ATP + H2O  ->  selenite[cytosol] + ADP + phosphate + H+ // ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+	sulfate[periplasm] + ATP + H2O  ->  sulfate[cytosol] + ADP + phosphate + H+ // ATP + thiosulfate[periplasm] + H2O  ->  ADP + thiosulfate[cytosol] + phosphate + H+ // selenate[periplasm] + ATP + H2O  ->  selenate[cytosol] + ADP + phosphate + H+ // selenite[periplasm] + ATP + H2O  ->  selenite[cytosol] + ADP + phosphate + H+ // ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+
sulfate:H+ symporter	EG10003-MONOMER	high-affinity sulfate:proton symporter activity // sulfate transmembrane transporter activity	sulfate:proton symport	sulfate:proton symport
taurine ABC transporter periplasmic binding protein // taurine ABC transporter membrane subunit // taurine ABC transporter ATP binding subunit	ABC-64-CPLX		taurine[periplasm] + ATP + H2O  ->  taurine[cytosol] + ADP + phosphate + H+	taurine[periplasm] + ATP + H2O  ->  taurine[cytosol] + ADP + phosphate + H+
tellurite resistance protein	TEHA-MONOMER	identical protein binding // cation efflux transmembrane transporter activity	ethidium[cytosol]  ->  ethidium[periplasm]	ethidium[cytosol]  ->  ethidium[periplasm]
thiamine ABC transporter	ABC-32-CPLX		ATP + thiamine[periplasm] + H2O  ->  ADP + thiamine[cytosol] + phosphate + H+	ATP + thiamine[periplasm] + H2O  ->  ADP + thiamine[cytosol] + phosphate + H+
thiosulfate/sulfate ABC transporter	ABC-7-CPLX		ATP + thiosulfate[periplasm] + H2O  ->  ADP + thiosulfate[cytosol] + phosphate + H+ // sulfate[periplasm] + ATP + H2O  ->  sulfate[cytosol] + ADP + phosphate + H+ // selenate[periplasm] + ATP + H2O  ->  selenate[cytosol] + ADP + phosphate + H+ // selenite[periplasm] + ATP + H2O  ->  selenite[cytosol] + ADP + phosphate + H+ // ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+	ATP + thiosulfate[periplasm] + H2O  ->  ADP + thiosulfate[cytosol] + phosphate + H+ // sulfate[periplasm] + ATP + H2O  ->  sulfate[cytosol] + ADP + phosphate + H+ // selenate[periplasm] + ATP + H2O  ->  selenate[cytosol] + ADP + phosphate + H+ // selenite[periplasm] + ATP + H2O  ->  selenite[cytosol] + ADP + phosphate + H+ // ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+
threonine/serine:H<sup>+</sup> symporter	TDCC-MONOMER	amino acid transmembrane transporter activity // serine transmembrane transporter activity // symporter activity // threonine efflux transmembrane transporter activity // L-serine transmembrane transporter activity // L-threonine transmembrane transporter activity // solute:proton symporter activity	L-serine:proton symport // L-threonine:proton symport	L-serine:proton symport // L-threonine:proton symport
transport of pyridoxal	MONOMER0-2799		pyridoxal[periplasm]  ->  pyridoxal[cytosol]	pyridoxal[periplasm]  ->  pyridoxal[cytosol]
transport of pyridoxamine	MONOMER0-2798		pyridoxamine[periplasm]  ->  pyridoxamine[cytosol]	pyridoxamine[periplasm]  ->  pyridoxamine[cytosol]
trehalose-specific PTS enzyme II	CPLX-168	protein-phosphocysteine-trehalose phosphotransferase system transporter activity	HPr-Phis15 + alpha,alpha-trehalose[periplasm]  ->  alpha,alpha-trehalose 6-phosphate[cytosol] + phosphocarrier protein HPr	HPr-Phis15 + alpha,alpha-trehalose[periplasm]  ->  alpha,alpha-trehalose 6-phosphate[cytosol] + phosphocarrier protein HPr
tripartite efflux pump EmrKY-TolC	CPLX0-2161		deoxycholate export	deoxycholate export
tryptophan:H<sup>+</sup> symporter Mtr	MTR-MONOMER	aromatic amino acid transmembrane transporter activity // high-affinity tryptophan transmembrane transporter activity // symporter activity // active transmembrane transporter activity	tryptophan:proton symport // indole:proton symport	tryptophan:proton symport // indole:proton symport
tryptophan:H+ symporter TnaB	TNAB-MONOMER	aromatic amino acid transmembrane transporter activity // symporter activity	tryptophan:proton symport	tryptophan:proton symport
twin arginine protein translocation system	TATABCE-CPLX	proton motive force dependent protein transmembrane transporter activity	protein translocation	protein translocation
tyrosine:H+ symporter	TYRP-MONOMER	aromatic amino acid transmembrane transporter activity	L-tyrosine:proton symport	L-tyrosine:proton symport
undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit // undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	CPLX0-7720		4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate[cytosol]  ->  4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate[periplasm]	4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate[cytosol]  ->  4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate[periplasm]
uracil:H+ symporter UraA	CPLX0-8247		uracil:proton symport	uracil:proton symport
urate:H<sup>+</sup> symporter	YGFU-MONOMER	transmembrane transporter activity // symporter activity // urate transmembrane transporter activity // xanthine transmembrane transporter activity	xanthine:proton symport // urate:proton symport	xanthine:proton symport // urate:proton symport
vitamin B<sub>12</sub> ABC transporter	ABC-5-CPLX		ATP + cob(I)alamin[periplasm] + H2O  ->  ADP + cob(I)alamin[cytosol] + phosphate + H+ // cob(I)inamide[periplasm] + ATP + H2O  ->  cob(I)inamide[cytosol] + ADP + phosphate + H+	ATP + cob(I)alamin[periplasm] + H2O  ->  ADP + cob(I)alamin[cytosol] + phosphate + H+ // cob(I)inamide[periplasm] + ATP + H2O  ->  cob(I)inamide[cytosol] + ADP + phosphate + H+
water channel AqpZ	CPLX0-7653		H2O[periplasm]  <-->  H2O[cytosol]	H2O[periplasm]  <-->  H2O[cytosol]
xanthine:H+ symporter XanP	YICE-MONOMER	transmembrane transporter activity // xanthine transmembrane transporter activity	xanthine:proton symport	xanthine:proton symport
xanthine:H+ symporter XanQ	YGFO-MONOMER	transmembrane transporter activity // xanthine transmembrane transporter activity	xanthine:proton symport	xanthine:proton symport
xanthosine:H+ symporter XapB	XAPB-MONOMER	transmembrane transporter activity // uridine transmembrane transporter activity // cytidine transmembrane transporter activity // nucleoside transmembrane transporter activity // xanthosine transmembrane transporter activity	xanthosine:proton symport	xanthosine:proton symport
xylose ABC transporter	ABC-33-CPLX		xylose ABC transporter	xylose ABC transporter
Zn2+ ABC transporter ATP binding subunit // Zn2+ ABC transporter membrane subunit // Zn2+ ABC transporter periplasmic binding protein	ABC-63-CPLX		Zn2+[periplasm] + ATP + H2O  ->  Zn2+[cytosol] + ADP + phosphate + H+	Zn2+[periplasm] + ATP + H2O  ->  Zn2+[cytosol] + ADP + phosphate + H+
Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter	B0752-MONOMER	cation transmembrane transporter activity // zinc ion transmembrane transporter activity	Zn<sup>2+</sup>:proton antiport	Zn<sup>2+</sup>:proton antiport
Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase	YHHO-MONOMER	cadmium ion transmembrane transporter activity // zinc ion transmembrane transporter activity // ATPase-coupled cation transmembrane transporter activity // metal ion binding // ATP binding // nucleotide binding // ATP hydrolysis activity // lead ion transmembrane transporter activity // P-type cadmium transporter activity // P-type zinc transporter activity	Zn2+[cytosol] + ATP + H2O  ->  Zn2+[periplasm] + ADP + phosphate + H+ // Cd2+[cytosol] + ATP + H2O  ->  Cd2+[periplasm] + ADP + phosphate + H+ // Pb2+[cytosol] + ATP + H2O  ->  Pb2+[periplasm] + ADP + phosphate + H+	Zn2+[cytosol] + ATP + H2O  ->  Zn2+[periplasm] + ADP + phosphate + H+ // Cd2+[cytosol] + ATP + H2O  ->  Cd2+[periplasm] + ADP + phosphate + H+ // Pb2+[cytosol] + ATP + H2O  ->  Pb2+[periplasm] + ADP + phosphate + H+
Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	CPLX0-7641		Cd<sup>2+</sup>:proton antiport // Fe<sup>2+</sup>:proton antiport // Zn<sup>2+</sup>:proton antiport	Cd<sup>2+</sup>:proton antiport // Fe<sup>2+</sup>:proton antiport // Zn<sup>2+</sup>:proton antiport
Zn<sup>2+</sup>:H<sup>+</sup> symporter	G6674-MONOMER	metal ion transmembrane transporter activity // cobalt ion binding // magnesium ion transmembrane transporter activity // cobalt ion transmembrane transporter activity // magnesium ion binding // protein binding // solute:proton symporter activity // zinc efflux transmembrane transporter activity // zinc ion transmembrane transporter activity	Zn<sup>2+</sup>:proton symport	Zn<sup>2+</sup>:proton symport
